"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LED1","_0805+","185mm","2.5mm","185mm","2.5mm","185.875mm","2.5mm","T","180.00","0805RED"
"R27","_0805","185mm","5mm","185mm","5mm","184.125mm","5mm","T","360.00","510R"
"U7","BGA75P6X8-48","158.6976mm","19.3878mm","158.7mm","19.4mm","156.0726mm","17.5128mm","T","90.00","IS66WVE4M16BLL"
"C43","_0805","158.7mm","24.4mm","158.7mm","24.4mm","157.825mm","24.4mm","T","360.00","100n"
"C45","_0805","158.7mm","14.4mm","158.7mm","14.4mm","159.575mm","14.4mm","T","180.00","100n"
"C27","_0805","135.4mm","36.1mm","135.4mm","36.1mm","135.4mm","36.975mm","T","270.00","100n"
"Y3","Crystal_79X37_(4)","61mm","102mm","61mm","102mm","63.75mm","103.6mm","T","180.00","CM200C-32.768KDZF-UT"
"Y2","HC49/SMT","145.4mm","36.1mm","145.4mm","36.1mm","140.65mm","36.1mm","T","360.00","ABLS-19.6608MHZ"
"Y1","HC49/SMT","80mm","95.7mm","80mm","95.7mm","80mm","90.95mm","T","90.00","ABLS-12.000MHZ"
"X12","MOLEX_47219-2001","10mm","19mm","10mm","19mm","13.205mm","17.45mm","T","0.00","47219-2001"
"X9","2011-2X03S","196.46mm","4.73mm","196.46mm","4.73mm","199mm","6mm","T","180.00","DIL6-M"
"X8","2011-1X04S","99.5mm","90mm","99.5mm","90mm","103.31mm","90mm","T","180.00","DNF"
"X4","2011-2X03S","104.5mm","97.5mm","104.5mm","97.5mm","103.23mm","100.04mm","T","270.00","DNF"
"UC1","SO4","154.6mm","113.1mm","154.6mm","113.1mm","157.775mm","111.83mm","T","180.00","LTV354T"
"U9","SOIC8","61.5mm","109.5mm","61.5mm","109.5mm","59.595mm","106.7mm","T","360.00","ISL12024IBZ"
"U8","BGA75P6X8-48","170.6976mm","19.3878mm","170.7mm","19.4mm","168.0726mm","17.5128mm","T","90.00","IS66WVE4M16BLL"
"U6","SOT23-5","5.8mm","108.4mm","5.8mm","108.4mm","7.175mm","107.45mm","T","90.00","MCP1319MT-29LE/OT"
"U5","LQFP100","131mm","23.9875mm","131mm","24mm","138.9mm","18mm","T","180.00","Z16F2811AL20EG"
"U4","SOIC127P760-8N","98.5016mm","25.495mm","98.5mm","25.5mm","101.7516mm","23.59mm","T","180.00","DNF"
"U3","SOIC16","45mm","106.4948mm","45mm","106.5mm","48.4mm","102.0498mm","T","180.00","MAX3232D"
"U2","QFN50P700X700-48W2N","90.5122mm","98.5042mm","90.5mm","98.5mm","87.0122mm","101.2542mm","T","0.00","FT800Q"
"U1","TSOP65P640-14N","158.5092mm","40.495mm","158.5mm","40.5mm","161.3592mm","38.545mm","T","180.00","SN74LVC02APW"
